Date,Region, Median.Sales.Price ,Homes.Sold,New.Listings,Inventory,Days.on.Market,Average.Sale.To.List,Unrate,T10Y,M30Y, UMCSENT , Sold.Inventory.Ratio ,Market.Type
12-Jan,National,159000,274425,484633,2049020,96,95.6,8.3,1.73,3.92,75,13.39,Buyer
12-Feb,National,160000,302862,519906,2072924,97,95.8,8.3,1.69,3.89,75.3,14.61,Buyer
12-Mar,National,171000,391339,628620,2114750,92,96.2,8.2,1.83,3.95,76.2,18.51,Equilibrium
12-Apr,National,178000,401834,613082,2151676,80,96.5,8.2,1.76,3.91,76.4,18.68,Equilibrium
12-May,National,186000,460868,614708,2160029,72,96.9,8.2,1.52,3.8,79.3,21.34,Seller
12-Jun,National,194000,484659,580796,2141938,68,97,8.2,1.33,3.68,73.2,22.63,Seller
12-Jul,National,192000,447927,544275,2104352,68,97.1,8.2,1.28,3.55,72.3,21.29,Seller
12-Aug,National,191000,482132,539758,2042916,70,97,8.1,1.41,3.6,74.3,23.6,Seller
12-Sep,National,187000,389689,481333,2001953,72,97,7.8,1.47,3.5,78.3,19.47,Equilibrium
12-Oct,National,185000,420452,489429,1926567,73,97,7.8,1.47,3.38,82.6,21.82,Seller
12-Nov,National,189000,396043,387630,1813971,73,96.9,7.7,1.39,3.35,82.7,21.83,Seller
12-Dec,National,194000,388924,298759,1655680,76,96.9,7.9,1.46,3.35,72.9,23.49,Seller
13-Jan,National,180000,309443,491504,1671879,79,96.8,8,1.65,3.41,73.8,18.51,Equilibrium
13-Feb,National,181000,319589,507036,1707163,79,97,7.7,1.72,3.53,77.6,18.72,Equilibrium
13-Mar,National,193000,416449,608974,1751126,71,97.4,7.5,1.7,3.57,78.6,23.78,Seller
13-Apr,National,199000,456482,692433,1839120,61,97.7,7.6,1.53,3.45,76.4,24.82,Seller
13-May,National,209000,529438,707896,1910418,55,97.9,7.5,1.68,3.54,84.5,27.71,Seller
13-Jun,National,219000,521845,652864,1952961,53,98.1,7.5,1.97,4.07,84.1,26.72,Seller
13-Jul,National,220000,543162,652972,1981481,53,98,7.3,2.24,4.37,85.1,27.41,Seller
13-Aug,National,217000,533795,615827,1981583,54,97.8,7.2,2.38,4.46,82.1,26.94,Seller
13-Sep,National,210000,445100,553902,1985261,58,97.6,7.2,2.41,4.49,77.5,22.42,Seller
13-Oct,National,210000,444651,545138,1956098,61,97.4,7.2,2.28,4.19,73.2,22.73,Seller
13-Nov,National,208000,381140,408594,1854846,64,97.2,6.9,2.41,4.26,75.1,20.55,Seller
13-Dec,National,212000,405538,309040,1688129,68,97.1,6.7,2.56,4.46,82.5,24.02,Seller
14-Jan,National,200000,300806,478941,1705112,76,96.8,6.6,2.46,4.43,81.2,17.64,Equilibrium
14-Feb,National,201000,308251,494136,1739845,78,97,6.7,2.38,4.3,81.6,17.72,Equilibrium
14-Mar,National,210000,389278,646786,1809227,71,97.2,6.7,2.32,4.34,80,21.52,Seller
14-Apr,National,215000,440406,723128,1869922,60,97.5,6.2,2.29,4.34,84.1,23.55,Seller
14-May,National,222000,503339,748825,1940655,52,97.7,6.3,2.17,4.19,81.9,25.94,Seller
14-Jun,National,230000,538508,705900,2025705,48,97.8,6.1,2.15,4.16,82.5,26.58,Seller
14-Jul,National,229000,530184,678606,2112498,46,97.7,6.2,2.04,4.13,81.8,25.1,Seller
14-Aug,National,227000,510969,604282,2102878,51,97.5,6.1,1.95,4.12,82.5,24.3,Seller
14-Sep,National,220000,466650,577827,2086277,57,97.3,5.9,1.97,4.16,84.6,22.37,Seller
14-Oct,National,220000,477321,559555,2024170,62,97.1,5.7,1.86,4.04,86.9,23.58,Seller
14-Nov,National,220000,375617,399754,1899849,64,97.1,5.8,1.8,4,88.8,19.77,Equilibrium
14-Dec,National,223000,441655,329182,1725868,68,97,5.6,1.57,3.86,93.6,25.59,Seller
15-Jan,National,214000,307442,504429,1724058,76,96.7,5.7,1.33,3.67,98.1,17.83,Equilibrium
15-Feb,National,215000,331872,525737,1737476,76,97,5.5,1.36,3.71,95.4,19.1,Equilibrium
15-Mar,National,226000,454109,706220,1801980,67,97.5,5.4,1.4,3.77,93,25.2,Seller
15-Apr,National,232000,491060,795034,1917988,56,97.8,5.4,1.4,3.67,95.9,25.6,Seller
15-May,National,239000,539666,779691,2004463,48,98,5.6,1.59,3.84,90.7,26.92,Seller
15-Jun,National,246000,626585,757740,2039722,45,98.1,5.3,1.68,3.98,96.1,30.72,Seller
15-Jul,National,243000,617502,725103,2053475,46,98,5.2,1.66,4.05,93.1,30.07,Seller
15-Aug,National,241000,558829,644638,2021326,47,97.9,5.1,1.47,3.91,91.9,27.65,Seller
15-Sep,National,234000,521257,605305,1988026,51,97.7,5,1.46,3.89,87.2,26.22,Seller
15-Oct,National,233000,492849,568631,1913774,54,97.5,5,1.43,3.8,90,25.75,Seller
15-Nov,National,235000,390621,432580,1786521,57,97.4,5.1,1.38,3.94,91.3,21.86,Seller
15-Dec,National,239000,484120,338153,1597440,60,97.4,5,1.26,3.96,92.6,30.31,Seller
16-Jan,National,229000,338958,496987,1596833,66,97.2,4.8,1.19,3.87,92,21.23,Seller
16-Feb,National,228000,361652,585142,1632982,69,97.3,4.9,1.05,3.66,91.7,22.15,Seller
16-Mar,National,240000,480784,753674,1713296,60,97.8,5,1.01,3.69,91,28.06,Seller
16-Apr,National,246000,521308,776432,1787405,49,98.1,5.1,1.04,3.61,89,29.17,Seller
16-May,National,253000,586077,760433,1825328,43,98.4,4.8,0.99,3.6,94.7,32.11,Seller
16-Jun,National,260000,654822,760548,1866813,41,98.4,4.9,0.91,3.57,93.5,35.08,Seller
16-Jul,National,258000,579193,682752,1881037,42,98.4,4.8,0.83,3.44,90,30.79,Seller
16-Aug,National,256000,608571,659646,1841133,44,98.2,4.9,0.82,3.44,89.8,33.05,Seller
16-Sep,National,253000,547099,614275,1819009,47,98,5,0.86,3.46,91.2,30.08,Seller
16-Oct,National,252000,497867,541687,1735580,50,97.9,4.9,0.92,3.47,87.2,28.69,Seller
16-Nov,National,255000,472284,443550,1602485,51,97.8,4.7,1.16,3.77,93.8,29.47,Seller
16-Dec,National,255000,493038,331612,1416975,55,97.7,4.7,1.3,4.2,98.2,34.8,Seller
17-Jan,National,247000,357670,506439,1407944,60,97.5,4.7,1.23,4.15,98.5,25.4,Seller
17-Feb,National,248000,364875,569284,1438594,60,97.7,4.6,1.22,4.17,96.3,25.36,Seller
17-Mar,National,258000,528153,766672,1515635,50,98.1,4.4,1.17,4.2,96.9,34.85,Seller
17-Apr,National,263000,511425,727384,1579452,41,98.5,4.4,1.06,4.05,97,32.38,Seller
17-May,National,269000,623719,803801,1638543,37,98.7,4.4,1,4.01,97.1,38.07,Seller
17-Jun,National,278000,685718,784285,1695636,35,98.8,4.3,0.84,3.9,95,40.44,Seller
17-Jul,National,274000,585365,687975,1705373,36,98.7,4.3,0.95,3.97,93.4,34.32,Seller
17-Aug,National,272000,622906,679626,1683023,39,98.5,4.4,0.87,3.88,96.8,37.01,Seller
17-Sep,National,269000,530296,590409,1658479,42,98.3,4.3,0.82,3.81,95.1,31.97,Seller
17-Oct,National,269000,521652,574706,1585316,44,98.2,4.2,0.81,3.9,100.7,32.91,Seller
17-Nov,National,271000,490800,459016,1460362,46,98.1,4.2,0.66,3.92,98.5,33.61,Seller
17-Dec,National,272000,494123,326867,1283531,50,98,4.1,0.56,3.95,95.9,38.5,Seller
18-Jan,National,265000,359997,505554,1273953,54,97.8,4,0.55,4.03,95.7,28.26,Seller
18-Feb,National,269000,371710,566426,1316109,53,98.1,4.1,0.68,4.33,99.7,28.24,Seller
18-Mar,National,278000,511958,727297,1373203,45,98.5,4,0.57,4.44,101.4,37.28,Seller
18-Apr,National,282000,535355,770531,1451994,36,98.8,4,0.48,4.47,98.8,36.87,Seller
18-May,National,289000,622735,833293,1555584,33,98.9,3.8,0.47,4.59,98,40.03,Seller
18-Jun,National,294000,658310,778695,1629490,31,98.9,4,0.38,4.57,98.2,40.4,Seller
18-Jul,National,288000,611059,715104,1650435,32,98.8,3.8,0.28,4.53,97.9,37.02,Seller
18-Aug,National,285000,628223,708400,1674198,36,98.5,3.8,0.25,4.55,96.2,37.52,Seller
18-Sep,National,280000,489908,606942,1696740,39,98.3,3.7,0.24,4.63,100.1,28.87,Seller
18-Oct,National,279000,522336,609153,1668217,43,98.1,3.8,0.29,4.83,98.6,31.31,Seller
18-Nov,National,280000,474930,465698,1570813,46,97.9,3.8,0.26,4.87,97.5,30.23,Seller
18-Dec,National,279000,440713,318542,1402594,51,97.7,3.9,0.16,4.64,98.3,31.42,Seller
19-Jan,National,273000,332825,533254,1419890,57,97.5,4,0.17,4.46,91.2,23.44,Seller
19-Feb,National,276000,371078,546166,1439087,59,97.8,3.8,0.17,4.37,93.8,25.79,Seller
