"Region","Median.Sale.Price","Median.Sale.Price.MoM","Median.Sale.Price.YoY","Homes.Sold","Homes.Sold.MoM","Homes.Sold.YoY","New.Listings","New.Listings.MoM","New.Listings.YoY","Inventory","Inventory.MoM","Inventory.YoY","Days.on.Market","Days.on.Market.MoM","Days.on.Market.YoY","Average.Sale.To.List","Average.Sale.To.List.MoM","Average.Sale.To.List.YoY","DATE","CSUSHPISA","MEDSQUFEEUS","MEDSQUFEE14460","MEDSQUFEE16980","MEDSQUFEE6037","MEDSQUFEE42101","MEDSQUFEE42660","MEDSQUFEE47900","UNRATE.y","T10Y2Y.y","MORTGAGE30US.y","UMCSENT.y","Sold.Inventory.Ratio","Market.Type"
" National","$159K","-6.40%","-4.40%",274425,"-23.40%","8.30%","484,633","50.50%","-3.10%",2049020,"0.40%","-17.40%",96,2,-8,"95.60%","-0.10%","0.20%","01/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.3,1.726,3.915,75,13.3929878673707,"Buyer"
" National","$160K","0.50%","-1.70%",302862,"10.40%","13.60%","519,906","7.30%","5.10%",2072924,"1.20%","-16.80%",97,1,-11,"95.80%","0.20%","0.30%","02/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.3,1.6895,3.89,75.3,14.6103764537436,"Buyer"
" National","$171K","7.00%","4.30%",391339,"29.20%","6.70%","628,620","20.90%","-5.20%",2114750,"2.00%","-16.80%",92,-4,-12,"96.20%","0.40%","0.60%","03/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.82818181818182,3.954,76.2,18.5052133821965,"Equilibrium"
" National","$178K","4.10%","6.00%",401834,"2.70%","8.20%","613,082","-2.50%","-2.50%",2151676,"1.70%","-16.90%",80,-12,-17,"96.50%","0.30%","0.70%","04/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.76095238095238,3.91,76.4,18.6753953662168,"Equilibrium"
" National","$186K","4.70%","8.20%",460868,"14.70%","16.40%","614,708","0.30%","-0.40%",2160029,"0.40%","-17.40%",72,-8,-17,"96.90%","0.30%","1.00%","05/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.51818181818182,3.798,79.3,21.3361950233076,"Seller"
" National","$194K","4.10%","7.40%",484659,"5.20%","9.70%","580,796","-5.50%","-3.50%",2141938,"-0.80%","-17.70%",68,-4,-15,"97.00%","0.20%","1.00%","06/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.33047619047619,3.675,73.2,22.6271255283766,"Seller"
" National","$192K","-1.00%","7.30%",447927,"-7.60%","13.90%","544,275","-6.30%","2.50%",2104352,"-1.80%","-17.60%",68,0,-15,"97.10%","0.00%","1.10%","07/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.2,1.27857142857143,3.55,72.3,21.2857449704232,"Seller"
" National","$191K","-0.70%","8.60%",482132,"7.60%","14.60%","539,758","-0.80%","1.20%",2042916,"-2.90%","-17.60%",70,2,-16,"97.00%","-0.10%","1.10%","08/01/12",NA,NA,NA,NA,NA,NA,NA,NA,8.1,1.4095652173913,3.602,74.3,23.6001871834182,"Seller"
" National","$187K","-1.80%","8.80%",389689,"-19.20%","4.20%","481,333","-10.80%","-0.40%",2001953,"-2.00%","-16.70%",72,2,-17,"97.00%","0.00%","1.20%","09/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.4678947368421,3.4975,78.3,19.465441995891,"Equilibrium"
" National","$185K","-1.10%","10.20%",420452,"7.90%","22.60%","489,429","1.70%","5.40%",1926567,"-3.80%","-17.00%",73,1,-18,"97.00%","0.00%","1.20%","10/01/12",NA,NA,NA,NA,NA,NA,NA,NA,7.8,1.46904761904762,3.3825,82.6,21.8238971185534,"Seller"
